gene,Methylation variation
LRCH2,
STMN2,
TRH,
LOC101927919,
NUS1,
MBD5,
MAGEA8,
C20orf196,
TSPY19P,
LOC100128834,
TMLHE,
RBMXL3,
SOS1,
RAB5A,
TPD52L3,
MED4,
RNA5SP518,
CT47B1,
VLDLR,
LOC100129348,
MIR3649,
TUSC3,
GRAMD4P6,
OR2AJ1,
TMEM27,
TCEAL4,
ADRB2,
MAOB,
TRNAQ13,
ORC4,
HNRNPK,
MAGEC1,
RMI1,
DUPD1,
OR2L13,
BTF3L4P2,
LOC100421043,
ZNF449,
AL121656.5,
PPP1R42,
CDHR1,
LOC102723687,
SENP1,
RNA5SP519,
BOC,
LOC101927608,
LOC102724087,
FKBP11,
SERPINB10,
COX17,
PFKM,
VLDLR-AS1,
LTBP1,
RPL18AP11,
ADAMTS3,
AMOT,
ZNF461,
ZNF705D,
RP11-75C9.1,
LOC101927874,
LINC00850,
LOC101929400,
LOC102723583,
MAP10,
MIR4505,
PCDH11Y,
ABCE1,
SPRY3,
ANAPC10,
QPCT,
SPHKAP,
CLCA4,
RPS12P26,
MAGEA8-AS1,
OR2X1P,
SDCCAG8,0.48763575696014944
KIF26B,0.46083855918302846
FLJ38379,0.4170358305211149
AKT3,0.3586764701396818
RP11-423H2.3,0.34584298862576646
CEP170,0.336319742374354
GBAP1,0.2965335832358524
GATAD2B,0.291581553304664
KIAA1147,0.2846117155262228
WEE2-AS1,0.2754372628622391
SCRIB,0.27461187775194706
LOC101928220,0.26803619321393146
LOC100996662,0.26718399292860967
LOC101928184,0.25844505625061825
CTSO,0.2507247731272237
PUF60,0.23916527568585633
Unknown gene,0.2377873869558109
TIGD5,0.23610071353398576
DNAH10,0.22114100555485516
TRBC2,0.21875022010171458
TRBJ2-4,0.21875022010171458
TRBJ2-1,0.21875022010171458
TRBJ2-7,0.21875022010171458
TRBC1,0.21875022010171458
TRBD2,0.21875022010171458
TRBJ2-3,0.21875022010171458
TRBJ2-5,0.21875022010171458
TRBJ2-2,0.21875022010171458
TRBJ2-2P,0.21875022010171458
TRBJ2-6,0.21875022010171458
TRNAN-GUU,0.21420541508039245
SSBP1,0.2100807331047732
CNTNAP2,0.20405503407095102
DPY19L2P2,0.20224860161383343
KIF5C,0.19394749410727607
RP4-669L17.10,0.19166172298565898
LPPR1,0.18546180457345668
CCDC92,0.18444070562126444
NAPEPLD,0.1818601945866653
PIWIL1,0.17458972389210786
LOC284240,0.15996748484859633
FLJ25715,0.15594547841396902
AC131097.3,0.15249454592420428
LOC100133091,0.1484002248816664
LOC101928108,0.14712763344486146
DLG5,0.144181392108528
EEF1D,0.14272703959912258
MAMDC2,0.13980501913097976
RAD17,0.13830890134459836
CDK7,0.13799858574028995
SLC5A8,0.13788363925139854
POMZP3,0.13504684056880695
PTP4A3,0.13397692066399727
GTF2H2C,0.13322351093437415
CCDC125,0.13239310199100926
DSEL,0.13049402873446805
SALL3,0.12951435822161125
MARVELD2,0.12751937416538348
TBCD,0.12606928788947605
SERF1B,0.1246223279491756
APBA1,0.1240789539181859
PTPRK,0.11661482314658235
OCLN,0.11194811731566062
LOC100422611,0.10733083886472625
VN1R104P,0.10733083886472625
EPHB6,0.10663051518979509
LILRA4,0.10404450961619784
